text,label
五点 十多 去 店里 都 没开 灯 很 暗 真的 很 影响 用餐 体验 南昌 吃 感觉 完全 不同 我用 会员卡 居然 说 没 注册 完全 说 没查 再 报 一遍 号码 都 无所谓 纸质 菜单 单 去 买单 没 下 餐巾纸 水饺 就算 居然 还 说 是不是 没 下单 店里 调料 都 快没了 不加 银耳 没 不 明明 两个 锅 只加 锅里 锅 干干净净 放在 不加 吃 完 银耳 锅 不加 银耳 不 开灯 小灯 吊灯 都 看不清 菜 怪不得 这家 店 没什么 人 吃饭,负面
朋友 带来 吃 说 霸占 南昌 平价 火锅 悠闲 味道 确实 不赖 四个 女生 加 三次 菜 三份 鸭血 真的 他家 鸭 血下 辣锅 好 美味 惊叹 蛙 蛙 美味 贡菜 美味 肉肉 美味 冰激凌 美味 反而 大家 都 很 好奇 鹿肉 却 没 吃 出来 不,正面
美味 服务 好 经常 带 小孩 一家人 去 吃,正面
季季红 火锅 食材 新鲜 味道 正宗 锅底 浓郁 调味 恰到好处 服务周到 热情 火锅 爱好者 不错 选择,正面
非常 美味 真的 推荐 吃 都 美味 服务 好 态度 已经 不是 一次 两次 吃 超 喜欢 季季红 火锅,正面
感觉 火锅 味道 挺不错 服务员 挺 耐心 锅底 差不多 没有 汤时 会 主动 请 是否 需要 加汤,正面
菜 很 新鲜 锅底 很 好 个人 很 推荐,正面
特别 美味 环境 很 好 一家人 都 特别 爱 吃 主要 服务 下次 还会 再,正面
服务员 态度 非常 热情 刚来 会 主动 请问 是否 需要 围裙,正面
服务态度 很 好 价格 优惠 值得 推荐 个人 比较 爱 吃 肉 卷 土豆 粉粉 好 美味,正面
整体 感觉 很 好 很 氛围 感 上菜 速度 一下子 上 齐 服务 加汤 很 主动 价格 经济 实惠 美味,正面
看 众人 一水 好评 不禁 人 好奇 店能 人 流连忘返 带 家人 尝 名不虚传 主要 上菜 非常 迅速 物美价廉 味道 好 服务周到 还会 再,正面
服务周到 热情 菜品 物美价廉 调料 美味 好 美味,正面
挺 好 环境 干净 服务员 很 热情 爱心 免费 冰淇淋 吃 调皮 性价比 很 高 下次 还会来,正面
服务 阳光 主动 收拾 空 盘子 加汤 菜品 新鲜 干净 卫生 无骨鱼 很 美味 入口 柔 下次 还会 再 季季红 火锅 味道 yyds,正面
薄荷 环境 季季红 装修 感觉 都 很 特色 这次 去 一家 全是 绿色 主题 店 过去 非常 心情舒畅 感觉 回到 大自然 服务 铃 服务 季季红 服务 没得说的 服务 人员 特别 热情 服务 很 周到 口味 特别 好 江西 品牌 觉得 很 出名,正面
卫生 越来越 差 桌子 凳子 都 油 就算 擦 完后 还 一股 臭味 店里 不是 特别 忙 筷子 直接 放 桌子 上 不拿个 盘子 垫,负面
服务 很 好 味道 很棒 食材 新鲜 哈哈哈 nice,正面
调料 充足 很 下饭 火锅 配 牛蛙 香喷喷 大老远 香 飘 四溢 上菜 速度 很快 服务 加汤 很 迅捷 主动 还会 主动 递 围裙 很 细节,正面
地理位置 很 方便 步步高 去 玩 都 挺 近 还 去 中联 逛逛 朋友 起来 吃 季季红 价格 很 便宜 味道 挺 好 卫生 方面 价格 很 平价 美味 服务态度 挺 好 美味 下次 还会来 吃 很 平价 价格 都 不贵 已经 很 不错,正面
