text,tags
五点一十多去的店里，都没开什么灯，很暗，真的很影响用餐体验，跟我在南昌吃的感觉完全不同。我用会员卡，居然说我没注册，完全可以说没查到，让我再报一遍号码，我都无所谓的，在纸质菜单上下单，去买单，没给我下到餐巾纸，水饺就算了，居然还说是不是我没下单！！！！而且店里的调料都快没了，也不加，银耳没了也不打，明明有两个锅，为什么只加一个锅里，另一个锅干干净净放在哪里啥也不加呢？吃完的银耳锅也不加银耳??????所以为什么不开灯？只有一个小灯和吊灯，我都看不清菜了??????怪不得这家店没什么人吃饭??????,点餐问题(负面)
朋友带来吃的，说是霸占了南昌的平价火锅[悠闲] 味道确实不赖，四个女生加了三次菜，其中是三份鸭血，真的，他家的鸭血下辣锅好好吃[惊叹] 蛙蛙好吃，贡菜好吃，肉肉好吃，冰激凌也好吃，反而是大家都很好奇的鹿肉，却没吃出来有什么不一样的。,菜品其他分类(正面)
好吃，服务好经常带小孩一家人去吃，,服务整体环节(正面)
来南昌几天，经常在大街上看到季季红的广告牌，感觉应该是本地比较有名的火锅??，就来尝尝啦 [薄荷]环境： 店面挺干净的，人也不多 [服务铃]服务： 扫码点餐，然后结账后，就有人送餐来了 菜品价格不高，两个人150元吃的饱饱的，调味台调料也挺多的，还有银耳汤。门口还有冰激凌自己挖。 菜品口味呢，还可以，中规中矩吧。 总体还可以哈,
季季红火锅，食材新鲜，味道正宗，锅底浓郁，调味恰到好处，服务周到热情，是火锅爱好者的不错选择。,"口味好(正面), 服务整体环节 (正面), 食材好 (正面)"
非常好吃！真的推荐你们来吃 什么都好吃！服务好！态度也好.已经不是一次两次来吃了.超喜欢季季红的火锅.,服务整体环节(正面)
感觉我这边的火锅味道挺不错的。服务员也挺耐心的。，当我们的锅底差不多没有汤时，他们会主动请我们是否需要加汤。,服务整体环节(正面)
菜很新鲜，锅底很好，个人很推荐,菜品其他分类(正面)
特别好吃，环境也很好，一家人都特别爱吃，主要服务也可以，下次还会再来的！,服务整体环节(正面)
这里的服务员的态度非常热情。，刚来的时候他们就会主动请问我们是否需要要围裙。,服务整体环节(正面)
服务态度很好，价格优惠，值得推荐，个人比较爱吃肉卷和土豆，粉粉的好好吃,"菜品其他分类(正面), 服务整体环节 (正面)"
「#鲜嫩肥牛卷」 【性价比】 【服务】 【环境】 【口味】,
整体感觉很好很有氛围感上菜速度一下子就上齐了服务加汤很主动价格经济实惠又美味??,"出餐环节(正面), 服务整体环节 (正面)"
看了众人一水的好评，不禁让人好奇，是什么店能让人流连忘返，带着家人来尝了，果然名不虚传！主要是上菜非常迅速，物美价廉味道好。服务周到，还会再来的。,"出餐环节(正面), 服务整体环节 (正面)"
服务周到热情，菜品物美价廉，调料好吃好好吃,"菜品其他分类(正面), 服务整体环节 (正面)"
挺好的，环境干净，服务员很热情[爱心] 还有免费冰淇淋吃??[调皮] 性价比很高 下次还会来哦,服务整体环节(正面)
服务阳光主动收拾空盘子加汤菜品新鲜干净卫生无骨鱼很好吃入口柔下次还会再来季季红火锅的味道yyds,"菜品其他分类(正面), 服务整体环节 (正面), 口感好 (正面)"
[薄荷]环境: 季季红的装修我感觉都是很有特色的，这次去的是一家全是绿色主题的店，过去非常的心情舒畅，感觉回到了大自然。 [服务铃]服务: 季季红的服务是没得说的，服务人员特别的热情，然后服务的很周到，口味也特别的好，江西品牌我觉得是很出名的。,服务整体环节(正面)
卫生越来越差，桌子凳子都是油就算了，擦完后还一股臭味，店里也不是特别忙，筷子直接放桌子上也不拿个盘子垫着,店内服务问题(负面)
建议大家来吃,
服务很好 味道很棒 食材新鲜 哈哈哈哈哈 nice,"服务整体环节(正面), 食材好 (正面)"
调料充足很下饭火锅??配牛蛙香喷喷大老远就香飘四溢上菜速度很快服务加汤很迅捷主动还会主动递围裙很细节,"出餐环节(正面), 服务整体环节 (正面), 分量多 (正面)"
地理位置很方便，在步步高，去哪里玩都挺近的，还能去中联逛逛，跟朋友一起来吃季季红，因为价格很便宜，而且味道也挺好的，卫生方面也可以，价格很平价，好吃，服务态度也挺好的，好吃，下次还会来吃，很平价，价格都不贵，已经很不错了！,"价格低(正面), 口味好 (正面), 服务整体环节 (正面)"
[服务铃]服务: 服务员很热情，味道不错，菜品新鲜，,服务整体环节(正面)
季季红的油炸小馒头好香好好吃，很推荐,"菜品其他分类(正面), 口味好 (正面)"
服务越来越好了，服务人员在不远不近的位置，照顾的很棒最近连吃两次了，口味确实赞，而且价格非常公道，肯定还会再找机会来第三次的,服务整体环节(正面)
服务主动热情奔放很有感染力牛蛙下锅嘎嘎嘎好吃??爱了爱了❤️,"菜品其他分类(正面), 服务整体环节 (正面)"
物美价廉 还有免费的冰淇淋 夏天来吃也不会上火 特别好,
好吃，实惠，服务态度也很好，和朋友来这里吃很开心,服务整体环节(正面)
服务很热情，门口有人接待，菜品很新鲜，环境很好，便宜又实惠，下次还会再来「#8秒毛肚片」 【口味】 【环境】 【服务】 【性价比】 【性价比】 【服务】 【服务】 【环境】 【环境】 【口味】,"迎宾排队环节(正面), 服务整体环节 (正面)"
比较常来，口味还不错，今后吃火锅的时候也愿意作为一手考虑,
蔬菜很新鲜，份量很大，服务很周到，味道很好很喜欢,"服务整体环节(正面), 食材好 (正面)"
菜品分量很足，火锅味道很好吃，服务态度也很好，不错，来了多次了，很好吃，想吃的都可以来，经济实惠。,"口味好(正面), 服务整体环节 (正面)"
好吃！好吃！好吃！服务好，菜品好,服务整体环节(正面)
好好吃！太好吃了非常的美味！??红糖糍粑不是很腻很奈斯还会再来吃,"菜品其他分类(正面), 口味好 (正面)"
味道很赞，服务员小姐姐也很温柔，环境很干净，很有性价比，这一顿下来100不到,
调料种类很多，服务态度也很周到，上菜也很迅速，非常推荐,"出餐环节(正面), 服务整体环节 (正面), 食材好 (正面)"
超级好吃！！！都吃了3年了，服务态度也好好，菜也非常的新鲜！！！,"服务整体环节(正面), 食材好 (正面)"
季季红火锅很好吃，环境很好，服务也超赞，,"菜品其他分类(正面), 服务整体环节 (正面)"
抢到了红包运气王送了小肥牛一份，这个福利还是很不错的，下次还来，用餐体验还可以,
味道好，服务到位，菜品多，经济实惠,服务整体环节(正面)
很好，环境也挺不错的，赞赞赞赞赞,
第二次来这家火锅店吃火锅了，店里面的菜品种类好多，锅底很香。服务小姐姐很有礼貌态度也非常好，加汤特别迅速。,"口味好(正面), 服务整体环节 (正面)"
服务态度好，食物鲜美，价格合适，环境好,"口味好(正面), 服务整体环节 (正面)"
这里面的菜品品类丰富，十分新鲜，特别好吃，强烈推荐,
非常好吃非常香香香香，态度非常好非常喜欢，推荐推荐,服务整体环节(正面)
嘎嘎好吃，可以尝试呦，火锅底料牛油比较推荐，鸡爪,菜品其他分类(正面)
服务态度很好，环境也很不错，每次独来这边吃，很方便,服务整体环节(正面)
来过很多次了，离家也很近，最喜欢吃的一家火锅了，喜欢吃这里的肥牛，菜品也比较新鲜。推荐！,菜品其他分类(正面)
第一次来，体验还不错，菜品很新鲜，口味很好，价格实惠，值得推荐，服务也很周到,服务整体环节(正面)
真的超级好吃，价格便宜又实惠，尤其是小姐姐们的服务态度超级好，有求必应，十分有礼貌，刚反映完冰激凌没有了，下一秒冰激凌出现在我眼前，已经爱上了乐盈这家季季红，上次来的时候是我朋友过生日，没有想到季季红也有生日祝福的服务，之前一直以为只有海某捞有太开心了花三分之一的价钱，享尊贵人生,服务整体环节(正面)
服务态度蛮好的 随叫随到 冰淇淋没了也及时加了 调料也是能及时补上 喜欢吃季季红的可以多来这家店吃 肯定能吃的开心,服务整体环节(正面)
口味不错 环境不错 合适年轻人打卡,
服务很周到，加汤速度很快，环境干净，虾滑很好吃,"出餐环节(正面), 菜品其他分类 (正面), 服务整体环节 (正面)"
这家店环境不错，干净卫生，菜品口感新鲜，下次还会再来的！(òωó)??,
超爱店里的红糖糍粑！！店里还有免费的冰淇凌可以吃，绿茶口味的超好吃，店里的菜品也挺新鲜的，毛肚冰块都还没化，服务员小姐姐也超热情 可以帮忙拿围裙 加汤也很及时,"菜品其他分类(正面), 菜品其他分类 (负面), 服务整体环节 (正面)"
服务非常好，服务员及时加汤，及时提供围裙。卫生很干净，菜品新鲜，冰淇凌很好吃,"菜品其他分类(正面), 服务整体环节 (正面)"
味道不错，也很实惠，和家人来吃很尽兴[囧],
经常来吃的，非常好吃，以后还会继续光顾,
口味不错，经常来这边吃，挺好的，女儿过生日很开心[愉快],
吃过很多次了 口味非常好 服务也很好 下次还会再来,服务整体环节(正面)
便宜又好吃。江西人的火锅推荐。,菜品其他分类(正面)
属于我们江西人的季季红，吃过很多次了，服务特别好，员工很贴心，菜品很多样新鲜，价格优惠????????,服务整体环节(正面)
很好吃，服务也不错 满意 下次来继续吃 还有免费的冰淇淋,服务整体环节(正面)
打卡师大季季红火锅店啦 店内环境非常不错 菜品新鲜 体验感很好 下次还会来哦,
味道不错，挺好吃的，喜欢吃牛油锅底，麻麻辣辣的很有味,"菜品其他分类(正面), 口味好 (正面)"
好吃，菜品便宜实惠，美味可口，值得推荐。,
服务态度很好 很积极 时不时的就会来问我们需不需要加汤和围裙那些 感觉到被照顾了 挺不错的 吃的很舒服,服务整体环节(正面)
物美价廉，性价比很高，推荐购买,
味道很好，卫生干净，物美价廉，性价比高,
太好吃了 停不下来了 强烈推荐大家,
来师大店打卡啦 这边装修风格很特别温馨 环境不错 工作人员很热情 菜品也很新鲜 上菜速度快 推荐来哦,"出餐环节(正面), 服务整体环节 (正面)"
好吃，离家近，用餐方便，新店环境好，奈斯,
[调皮]这边环境挺不错的 服务也很热情 上菜也很快 推荐[调皮],"出餐环节(正面), 服务整体环节 (正面)"
食物不仅外形美观，重要的是味道非常棒，色味俱佳。做法保留了道食材原有的味道，清新爽口。而且菜品选择非常多，价格也不高，适合带着家人一起去。 2、店里的东西非常的美味可口，造型也非常好看，香味也非常的独特，是我吃到的非常美味的食物，我以后还会再来这个地方的。 3、真心很不错，色泽比较好，而且价格优惠价格实惠，服务周到，好评！ 4、味道超赞，而且一看就让人觉得很有食欲，但是分量不大，属于比较精致的类型。胜 第 1 页 在菜品也很新鲜，味道咸淡适中，而且火候掌握的刚好，上菜速度很快。 5、看了众人一水的疯狂好评，不禁让人好奇，是什么店可以掏空大家的积蓄，亲自去尝了，果然名不虚传。 6、果然美味的食材，往往只需要最朴素的烹饪方式，以及最平常的餐盘盛放，这家店的食物太好吃了。 7、这家店有毒，一周吃了三次还想去，太好吃了。,"出餐环节(正面), 卖相好 (正面), 菜品其他分类 (正面), 口味好 (正面), 口感好 (正面)"
有免费冰激凌耶，超好吃， [薄荷]环境: 很干净，给人感觉很舒服 [服务铃]服务: 态度好,"菜品其他分类(正面), 服务整体环节 (正面)"
菜品很新鲜份量也很足服务态度也很好,服务整体环节(正面)
服务态度好，店内环境好，菜品好，很新鲜，锅底好吃，嫩牛肉片好吃,"菜品其他分类(正面), 服务整体环节 (正面)"
刚好周末休息，菜品种类多，味道不错，终爱季季红的牛蛙，肉质好嫩.,"菜品其他分类(正面), 口感好 (正面)"
是老顾客，经常休息会来吃火锅，菜品很新鲜，有时间下次还会再来.,
今天周末和家人来吃火锅 牛肉虾滑很好吃 点个赞,菜品其他分类(正面)
